frame,label,condition,raw_depth,agent_z,target_z,x_diff,z_diff,dist_ground
16,cell phone,30cm,2.1678,4.34,2.168,0.407,2.172,2.2098
17,cell phone,30cm,2.1678,4.34,2.168,0.407,2.172,2.2098
18,cell phone,30cm,2.1678,4.34,2.168,0.407,2.172,2.2098
19,cell phone,30cm,2.1678,4.34,2.168,0.407,2.172,2.2098
20,cell phone,30cm,9.7914,7.087,9.791,2.775,2.704,3.8746
21,cell phone,30cm,5.939,7.252,5.939,1.002,1.313,1.6517
22,cell phone,30cm,5.3309,5.347,5.331,0.984,0.016,0.9841
22,cell phone,30cm,4.6414,5.347,4.641,0.046,0.706,0.7075
23,cell phone,30cm,5.6893,6.011,5.689,0.519,0.322,0.6108
23,cell phone,30cm,5.9285,6.011,5.928,0.273,0.083,0.2853
24,cell phone,30cm,6.4136,6.088,6.414,0.457,0.326,0.5614
24,cell phone,30cm,6.4136,6.149,6.414,0.353,0.265,0.4414
25,cell phone,30cm,6.337,6.218,6.337,0.392,0.119,0.4097
27,cell phone,30cm,6.0913,6.112,6.091,0.094,0.021,0.0963
28,cell phone,30cm,6.2142,5.588,6.214,0.379,0.626,0.7318
28,cell phone,30cm,6.2355,5.588,6.236,0.368,0.648,0.7452
29,cell phone,30cm,6.2054,5.589,6.205,0.392,0.616,0.7302
29,cell phone,30cm,6.1504,5.589,6.15,0.127,0.561,0.5752
29,cell phone,30cm,5.8831,5.589,5.883,0.425,0.294,0.5168
30,cell phone,30cm,10.4706,9.106,10.471,0.206,1.365,1.3805
30,cell phone,30cm,10.0125,9.106,10.012,0.626,0.906,1.1012
31,cell phone,30cm,8.4746,8.019,8.475,0.972,0.456,1.0736
31,cell phone,30cm,8.6896,8.019,8.69,0.8,0.671,1.0441
32,cell phone,30cm,8.9199,7.999,8.92,1.014,0.921,1.3698
32,cell phone,30cm,8.129,7.999,8.129,0.772,0.13,0.7829
33,cell phone,30cm,8.9199,7.999,8.92,1.014,0.921,1.3698
33,cell phone,30cm,8.129,7.999,8.129,0.772,0.13,0.7829
34,cell phone,30cm,8.9199,7.999,8.92,1.014,0.921,1.3698
34,cell phone,30cm,8.129,7.999,8.129,0.772,0.13,0.7829
35,cell phone,30cm,8.8419,8.106,8.842,0.974,0.736,1.2208
35,cell phone,30cm,8.6431,8.106,8.643,0.823,0.537,0.9827
36,cell phone,30cm,8.8419,8.106,8.842,0.974,0.736,1.2208
36,cell phone,30cm,8.6431,8.106,8.643,0.823,0.537,0.9827
37,cell phone,30cm,8.8419,8.106,8.842,0.974,0.736,1.2208
37,cell phone,30cm,8.6431,8.106,8.643,0.823,0.537,0.9827
38,cell phone,30cm,8.8419,8.106,8.842,0.974,0.736,1.2208
38,cell phone,30cm,8.6431,8.106,8.643,0.823,0.537,0.9827
39,cell phone,30cm,8.8419,8.106,8.842,0.974,0.736,1.2208
39,cell phone,30cm,8.6431,8.106,8.643,0.823,0.537,0.9827
40,cell phone,30cm,8.3775,7.403,8.377,1.347,0.974,1.6623
40,cell phone,30cm,10.2875,7.403,10.287,1.337,2.884,3.1788
41,cell phone,30cm,8.3775,7.403,8.377,1.347,0.974,1.6623
41,cell phone,30cm,10.2875,7.403,10.287,1.337,2.884,3.1788
42,cell phone,30cm,8.3775,7.403,8.377,1.347,0.974,1.6623
42,cell phone,30cm,10.2875,7.403,10.287,1.337,2.884,3.1788
43,cell phone,30cm,8.3775,7.403,8.377,1.347,0.974,1.6623
43,cell phone,30cm,10.2875,7.403,10.287,1.337,2.884,3.1788
44,cell phone,30cm,8.3775,7.403,8.377,1.347,0.974,1.6623
44,cell phone,30cm,10.2875,7.403,10.287,1.337,2.884,3.1788
45,cell phone,30cm,8.0035,7.06,8.004,1.35,0.944,1.6473
45,cell phone,30cm,9.8778,7.06,9.878,1.343,2.818,3.1217
46,cell phone,30cm,8.0035,7.06,8.004,1.35,0.944,1.6473
46,cell phone,30cm,9.8778,7.06,9.878,1.343,2.818,3.1217
47,cell phone,30cm,8.0035,7.06,8.004,1.35,0.944,1.6473
