frame,label,condition,raw_depth,agent_z,target_z,x_diff,z_diff,dist_ground
8,cell phone,30cm,4.3217,4.68,4.322,0.825,0.358,0.8993
8,cell phone,30cm,4.2006,4.68,4.201,0.826,0.479,0.9548
8,cell phone,30cm,4.3217,6.243,4.322,0.29,1.921,1.9428
8,cell phone,30cm,4.3217,4.624,4.322,0.881,0.302,0.9313
8,cell phone,30cm,4.2006,6.243,4.201,0.291,2.042,2.0626
8,cell phone,30cm,4.2006,4.624,4.201,0.882,0.423,0.9782
9,cell phone,30cm,6.79,4.074,6.79,0.753,2.716,2.8185
9,cell phone,30cm,3.1462,4.074,3.146,0.218,0.928,0.9533
10,cell phone,30cm,8.2031,8.096,8.203,0.451,0.107,0.4635
10,cell phone,30cm,8.8691,8.096,8.869,1.584,0.773,1.7626
10,cell phone,30cm,7.9283,8.096,7.928,0.412,0.168,0.4449
11,cell phone,30cm,7.9179,8.192,7.918,0.485,0.274,0.557
11,cell phone,30cm,8.5427,8.192,8.543,0.584,0.351,0.6814
11,cell phone,30cm,7.5385,8.192,7.538,0.521,0.654,0.8362
12,cell phone,30cm,7.8768,8.227,7.877,0.163,0.35,0.3861
12,cell phone,30cm,7.4747,8.227,7.475,0.127,0.752,0.7626
12,cell phone,30cm,8.4385,8.227,8.438,1.207,0.211,1.2253
12,cell phone,30cm,8.4455,8.227,8.445,1.198,0.218,1.2177
13,cell phone,30cm,8.5432,8.068,8.543,0.636,0.475,0.7938
13,cell phone,30cm,7.3269,8.068,7.327,0.467,0.741,0.8759
13,cell phone,30cm,7.7625,8.068,7.763,0.432,0.305,0.5288
14,cell phone,30cm,6.4713,6.701,6.471,0.455,0.23,0.5098
14,cell phone,30cm,5.8848,6.701,5.885,0.473,0.816,0.9432
15,cell phone,30cm,6.6034,6.369,6.603,0.256,0.234,0.3468
15,cell phone,30cm,6.6034,6.681,6.603,0.351,0.078,0.3596
15,cell phone,30cm,6.6034,6.598,6.603,0.294,0.005,0.294
15,cell phone,30cm,5.9433,6.369,5.943,0.241,0.426,0.4894
15,cell phone,30cm,5.9433,6.681,5.943,0.336,0.738,0.8109
15,cell phone,30cm,5.9433,6.598,5.943,0.279,0.655,0.7119
