label,distance_label,object_state,target_z,footing_floor,floor_margin
book,1.0,elevated,1.9985,0.9314,-1.067
book,1.0,elevated,1.9938,0.9238,-1.07
book,1.0,elevated,4.1983,4.2319,0.0335
book,1.0,elevated,0.857,0.8813,0.0243
book,1.0,elevated,1.2689,1.2022,-0.0667
book,1.0,elevated,1.2685,1.2019,-0.0666
book,1.0,elevated,1.2685,1.2019,-0.0666
book,1.0,elevated,1.2687,1.2019,-0.0668
book,1.0,elevated,1.2685,1.2019,-0.0666
book,1.0,elevated,1.2689,1.2021,-0.0668
book,1.0,elevated,1.2689,1.2021,-0.0668
book,1.0,elevated,1.0583,1.0179,-0.0405
book,1.0,elevated,1.0602,1.0187,-0.0415
book,1.0,elevated,1.0582,1.0179,-0.0403
book,1.0,elevated,1.058,1.0178,-0.0402
book,1.0,elevated,1.058,1.0178,-0.0402
book,1.0,elevated,1.0582,1.0179,-0.0403
book,1.0,elevated,1.0598,1.0187,-0.0411
book,1.0,elevated,1.0598,1.0186,-0.0412
book,1.0,elevated,1.06,1.0187,-0.0412
book,1.0,elevated,1.06,1.0187,-0.0412
book,1.0,elevated,1.054,1.0123,-0.0417
book,1.0,elevated,1.0541,1.0124,-0.0417
book,1.0,elevated,1.0541,1.0123,-0.0418
book,1.0,elevated,1.0544,1.0124,-0.0419
book,1.0,elevated,1.0541,1.0123,-0.0418
book,1.0,elevated,1.0542,1.0123,-0.0419
book,1.0,elevated,1.054,1.0123,-0.0417
book,1.0,elevated,1.0528,1.0115,-0.0412
book,1.0,elevated,1.0539,1.0122,-0.0417
book,1.0,elevated,1.0542,1.0123,-0.0419
book,1.0,elevated,1.0477,1.0068,-0.0409
book,1.0,elevated,1.0476,1.0067,-0.0409
book,1.0,elevated,1.0475,1.0066,-0.0409
book,1.0,elevated,1.0475,1.0066,-0.0409
book,1.0,elevated,1.0474,1.0066,-0.0408
book,1.0,elevated,1.0476,1.0066,-0.0409
book,1.0,elevated,1.0476,1.0068,-0.0408
book,1.0,elevated,1.0476,1.0068,-0.0408
book,1.0,elevated,1.0475,1.0067,-0.0408
book,1.0,elevated,1.0475,1.0067,-0.0408
book,1.0,elevated,1.0494,1.0105,-0.0389
book,1.0,elevated,1.0498,1.0107,-0.039
book,1.0,elevated,1.0495,1.0106,-0.0389
book,1.0,elevated,1.0495,1.0105,-0.0389
book,1.0,elevated,1.0485,1.0099,-0.0386
book,1.0,elevated,1.0496,1.0106,-0.039
book,1.0,elevated,1.0497,1.0106,-0.0391
book,1.0,elevated,1.0485,1.0099,-0.0386
book,1.0,elevated,1.0497,1.0106,-0.0391
book,1.0,elevated,1.0496,1.0106,-0.039
book,1.0,elevated,1.0472,1.008,-0.0392
book,1.0,elevated,1.047,1.0079,-0.0391
book,1.0,elevated,1.0468,1.0079,-0.0389
book,1.0,elevated,1.0472,1.008,-0.0392
book,1.0,elevated,1.047,1.0079,-0.0391
book,1.0,elevated,1.047,1.0079,-0.0392
book,1.0,elevated,1.0472,1.0079,-0.0393
book,1.0,elevated,1.0457,1.0075,-0.0382
book,1.0,elevated,1.0457,1.0075,-0.0382
book,1.0,elevated,1.0475,1.008,-0.0395
book,1.0,elevated,1.0447,1.0068,-0.0379
book,1.0,elevated,1.0445,1.0067,-0.0378
book,1.0,elevated,1.0447,1.0068,-0.0379
book,1.0,elevated,1.0434,1.0062,-0.0373
book,1.0,elevated,1.0444,1.0067,-0.0378
book,1.0,elevated,1.0443,1.0067,-0.0376
book,1.0,elevated,1.0442,1.0067,-0.0376
book,1.0,elevated,1.0445,1.0068,-0.0378
book,1.0,elevated,1.0445,1.0068,-0.0378
book,1.0,elevated,1.0553,1.0164,-0.039
book,1.0,elevated,1.0551,1.0164,-0.0387
book,1.0,elevated,1.055,1.0163,-0.0387
book,1.0,elevated,1.0552,1.0164,-0.0388
book,1.0,elevated,1.055,1.0162,-0.0388
book,1.0,elevated,1.055,1.0163,-0.0387
book,1.0,elevated,1.0537,1.0154,-0.0383
book,1.0,elevated,1.058,1.0172,-0.0408
book,1.0,elevated,1.0579,1.0171,-0.0408
book,1.0,elevated,1.0577,1.017,-0.0407
book,1.0,elevated,1.0579,1.0171,-0.0408
book,1.0,elevated,1.058,1.0171,-0.0409
book,1.0,elevated,1.0589,1.0179,-0.041
book,1.0,elevated,1.0579,1.017,-0.0409
book,1.0,elevated,1.0578,1.017,-0.0408
book,1.0,elevated,1.0579,1.017,-0.0409
book,1.0,elevated,1.0589,1.0179,-0.041
book,1.0,elevated,1.0326,0.9967,-0.036
book,1.0,elevated,1.0326,0.9964,-0.0362
book,1.0,elevated,1.0324,0.9964,-0.0361
book,1.0,elevated,1.0318,0.9957,-0.0361
book,1.0,elevated,1.0318,0.9957,-0.0361
book,1.0,elevated,1.0318,0.9957,-0.0361
book,1.0,elevated,1.0326,0.9965,-0.0361
book,1.0,elevated,1.0325,0.9964,-0.0361
book,1.0,elevated,1.0318,0.9957,-0.0361
book,1.0,elevated,1.0318,0.9957,-0.0361
book,1.0,elevated,1.0296,0.9948,-0.0347
book,1.0,elevated,1.0303,0.9956,-0.0347
book,1.0,elevated,1.0304,0.9957,-0.0347
book,1.0,elevated,1.0304,0.9956,-0.0349
book,1.0,elevated,1.0306,0.9957,-0.0349
book,1.0,elevated,1.0304,0.9956,-0.0349
book,1.0,elevated,1.0304,0.9956,-0.0349
book,1.0,elevated,1.0304,0.9956,-0.0349
book,1.0,elevated,1.0305,0.9957,-0.0348
book,1.0,elevated,1.0304,0.9956,-0.0348
book,1.0,elevated,1.0326,0.9963,-0.0363
book,1.0,elevated,1.0326,0.9963,-0.0363
book,1.0,elevated,1.0324,0.9963,-0.0361
book,1.0,elevated,1.0325,0.9963,-0.0362
book,1.0,elevated,1.0322,0.9962,-0.036
book,1.0,elevated,1.0324,0.9963,-0.0361
book,1.0,elevated,1.0324,0.9963,-0.0361
book,1.0,elevated,1.0323,0.9962,-0.0361
book,1.0,elevated,1.0322,0.9962,-0.036
book,1.0,elevated,1.0324,0.9963,-0.0361
book,1.0,elevated,1.0377,1.0023,-0.0354
book,1.0,elevated,1.0378,1.0023,-0.0355
book,1.0,elevated,1.0375,1.0023,-0.0352
book,1.0,elevated,1.0376,1.0023,-0.0353
book,1.0,elevated,1.0376,1.0023,-0.0353
book,1.0,elevated,1.0375,1.0023,-0.0352
book,1.0,elevated,1.0378,1.0024,-0.0354
book,1.0,elevated,1.0378,1.0024,-0.0354
book,1.0,elevated,1.0473,1.0096,-0.0376
book,1.0,elevated,1.0485,1.0109,-0.0376
book,1.0,elevated,1.0322,0.9883,-0.0439
book,1.0,elevated,1.0318,0.9882,-0.0436
book,1.0,elevated,1.032,0.9882,-0.0438
book,1.0,elevated,1.0318,0.9882,-0.0436
book,1.0,elevated,1.032,0.9882,-0.0438
book,1.0,elevated,1.032,0.9883,-0.0438
book,1.0,elevated,1.032,0.9883,-0.0437
book,1.0,elevated,1.032,0.9883,-0.0437
book,1.0,elevated,1.0318,0.9882,-0.0436
book,1.0,elevated,1.0318,0.9882,-0.0436
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0186,0.9807,-0.038
book,1.0,elevated,1.0185,0.9807,-0.0378
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0187,0.9807,-0.038
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0185,0.9807,-0.0378
book,1.0,elevated,1.0185,0.9807,-0.0378
book,1.5,elevated,2.9387,2.7761,-0.1626
book,1.5,elevated,2.9381,2.7761,-0.162
book,1.5,elevated,2.938,2.777,-0.161
book,1.5,elevated,2.9375,2.7761,-0.1613
book,1.5,elevated,2.9375,2.7761,-0.1613
book,1.5,elevated,2.9381,2.7761,-0.162
book,1.5,elevated,2.9395,2.7695,-0.17
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0677,4.1283,0.0605
book,1.5,elevated,1.6848,1.6534,-0.0314
book,1.5,elevated,1.654,1.4747,-0.1793
book,1.5,elevated,1.5163,1.3467,-0.1696
book,1.5,elevated,1.5163,1.3467,-0.1696
book,1.5,elevated,1.5163,1.3467,-0.1696
book,1.5,elevated,1.5161,1.3467,-0.1694
book,1.5,elevated,1.4746,1.2222,-0.2524
book,1.5,elevated,1.5161,1.3467,-0.1694
book,1.5,elevated,1.5162,1.3378,-0.1784
book,1.5,elevated,1.5163,1.3467,-0.1696
book,1.5,elevated,1.5122,1.4775,-0.0347
book,1.5,elevated,1.5283,1.4841,-0.0442
book,1.5,elevated,1.5495,1.3897,-0.1598
book,1.5,elevated,2.1687,1.8956,-0.2732
book,1.5,elevated,1.5495,1.3816,-0.1679
book,1.5,elevated,1.5493,1.3816,-0.1677
book,1.5,elevated,1.5492,1.3816,-0.1677
book,1.5,elevated,1.5492,1.3816,-0.1677
book,1.5,elevated,1.5492,1.3816,-0.1677
book,1.5,elevated,1.55,1.3963,-0.1537
book,1.5,elevated,1.5496,1.3963,-0.1533
book,1.5,elevated,1.5492,1.3816,-0.1677
book,1.5,elevated,1.5649,1.3967,-0.1682
book,1.5,elevated,1.5883,1.5624,-0.026
book,1.5,elevated,1.5885,1.5625,-0.026
book,1.5,elevated,1.5649,1.3967,-0.1682
book,1.5,elevated,1.5876,1.5621,-0.0255
book,1.5,elevated,1.5649,1.3794,-0.1855
book,1.5,elevated,1.5649,1.3794,-0.1855
book,1.5,elevated,1.5647,1.3966,-0.1682
book,1.5,elevated,3.5708,3.616,0.0452
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4591,1.2958,-0.1634
book,1.5,elevated,1.4593,1.2958,-0.1635
book,1.5,elevated,1.4596,1.3036,-0.1561
book,1.5,elevated,1.4595,1.3036,-0.1559
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4593,1.2958,-0.1635
book,1.5,elevated,1.4403,1.2842,-0.1562
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4403,1.2842,-0.1562
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4409,1.299,-0.1419
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.4521,1.3058,-0.1463
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
