label,distance_label,object_state,mask_area,target_z,floor_margin,mask_norm,timestamp
book,1.0,held_in_hand,49838,1.3554,2.4807,1.554163,1783399003.273
book,1.0,held_in_hand,18056,1.3741,2.4619,0.578747,1783399003.278
book,1.0,held_in_hand,53759,1.3904,2.4457,1.764057,1783399003.971
book,1.0,held_in_hand,51210,1.5035,2.3326,1.965085,1783399004.603
book,1.0,held_in_hand,16534,1.4487,2.3874,0.589009,1783399005.207
book,1.0,held_in_hand,51921,1.4356,2.4004,1.816545,1783399006.413
book,1.0,held_in_hand,51615,1.4413,2.3948,1.820151,1783399007.046
book,1.0,held_in_hand,52246,1.4395,2.3965,1.837833,1783399007.683
book,1.0,held_in_hand,52046,1.437,2.3991,1.824306,1783399008.302
book,1.0,held_in_hand,16647,1.3965,2.3421,0.55107,1783399009.891
book,1.0,held_in_hand,51978,1.3832,2.3554,1.687992,1783399009.898
book,1.0,held_in_hand,17858,1.4032,2.3353,0.596875,1783399010.521
book,1.0,held_in_hand,20350,1.4108,2.3278,0.687522,1783399011.16
book,1.0,held_in_hand,20007,1.4103,2.3283,0.675447,1783399011.794
book,1.0,held_in_hand,20247,1.4112,2.3273,0.684477,1783399012.401
book,1.0,held_in_hand,16714,1.4045,2.334,0.559678,1783399013.036
book,1.0,held_in_hand,54218,1.5107,2.2451,2.100518,1783399016.939
book,1.0,held_in_hand,17791,1.6787,2.0771,0.851077,1783399016.944
book,1.0,held_in_hand,22322,1.6745,2.0814,1.062448,1783399016.949
book,1.0,held_in_hand,53657,1.4734,2.2825,1.977287,1783399017.578
book,1.0,held_in_hand,53241,1.4498,2.3061,1.8996,1783399018.16
book,1.0,held_in_hand,53185,1.4447,2.3112,1.884213,1783399018.765
book,1.0,held_in_hand,19304,1.5984,2.1575,0.837188,1783399018.771
book,1.0,held_in_hand,53450,1.4393,2.3166,1.879539,1783399019.371
book,1.0,held_in_hand,53418,1.4351,2.3207,1.867592,1783399019.963
book,1.0,held_in_hand,53150,1.4283,2.3275,1.840637,1783399020.564
book,1.0,held_in_hand,53080,1.4236,2.3322,1.826082,1783399021.183
book,1.0,held_in_hand,53381,1.3352,2.4175,1.615454,1783399022.116
book,1.0,held_in_hand,53492,1.3344,2.4183,1.616951,1783399022.746
book,1.0,held_in_hand,53445,1.3345,2.4182,1.615665,1783399023.328
book,1.0,held_in_hand,11680,1.3221,2.4306,0.346577,1783399023.928
book,1.0,held_in_hand,11475,1.3215,2.4312,0.340164,1783399025.153
book,1.0,held_in_hand,53475,1.3339,2.4188,1.615027,1783399025.16
book,1.0,held_in_hand,53442,1.334,2.4187,1.61439,1783399025.769
book,1.0,held_in_hand,53442,1.334,2.4187,1.61439,1783399025.828
book,1.0,held_in_hand,53581,1.3341,2.4186,1.618929,1783399026.468
book,1.0,held_in_hand,53514,1.3345,2.4182,1.617809,1783399027.066
book,1.0,held_in_hand,53605,1.3317,2.4285,1.613684,1783399027.978
book,1.0,held_in_hand,53783,1.331,2.4292,1.617482,1783399029.911
book,1.0,held_in_hand,53711,1.3309,2.4294,1.614873,1783399031.705
book,1.0,held_in_hand,53537,1.3364,2.4105,1.623023,1783399032.608
book,1.0,held_in_hand,53356,1.3387,2.4082,1.623157,1783399033.188
book,1.0,held_in_hand,53356,1.3387,2.4082,1.623157,1783399033.259
book,1.0,held_in_hand,53493,1.3364,2.4105,1.621711,1783399033.874
book,1.0,held_in_hand,53310,1.3366,2.4104,1.616559,1783399034.461
book,1.0,held_in_hand,53471,1.3402,2.4211,1.63022,1783399038.45
