timestamp,label,z_val_m,real_w_cm,real_h_cm,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
19:38:49.213,person,0.8758,53.19,53.94,-0.2068,-0.2192,0.3251,-0.2192,-0.2068,0.3202,0.3251,0.3202
19:38:49.606,person,0.9521,55.75,58.84,-0.2081,-0.2402,0.3495,-0.2402,-0.2081,0.3481,0.3495,0.3481
19:38:49.607,cell phone,0.6167,7.8,15.41,-0.1079,-0.0399,-0.0299,-0.0399,-0.1079,0.1142,-0.0299,0.1142
19:38:49.935,person,0.9461,55.4,58.56,-0.2067,-0.2397,0.3473,-0.2397,-0.2067,0.3459,0.3473,0.3459
19:38:49.935,cell phone,0.632,8.06,15.73,-0.1119,-0.0409,-0.0313,-0.0409,-0.1119,0.1164,-0.0313,0.1164
19:38:50.260,person,0.9536,55.74,58.73,-0.2064,-0.2386,0.351,-0.2386,-0.2064,0.3487,0.351,0.3487
19:38:50.261,cell phone,0.6976,8.82,17.36,-0.1235,-0.0444,-0.0353,-0.0444,-0.1235,0.1292,-0.0353,0.1292
19:38:50.600,person,0.9575,55.97,59.07,-0.2082,-0.2406,0.3515,-0.2406,-0.2082,0.3501,0.3515,0.3501
19:38:50.600,cell phone,0.6833,8.57,17.0,-0.121,-0.0428,-0.0353,-0.0428,-0.121,0.1273,-0.0353,0.1273
19:38:50.600,tie,0.317,3.78,12.72,-0.1862,-0.1168,-0.1484,-0.1168,-0.1862,0.0104,-0.1484,0.0104
19:38:50.942,person,0.9507,55.28,58.85,-0.2038,-0.2409,0.349,-0.2409,-0.2038,0.3476,0.349,0.3476
19:38:50.942,cell phone,0.6846,8.66,17.04,-0.1205,-0.0428,-0.0339,-0.0428,-0.1205,0.1275,-0.0339,0.1275
19:38:51.265,person,0.9526,55.39,58.97,-0.2042,-0.2413,0.3497,-0.2413,-0.2042,0.3483,0.3497,0.3483
19:38:51.266,cell phone,0.6484,8.2,16.13,-0.1141,-0.0412,-0.0322,-0.0412,-0.1141,0.1201,-0.0322,0.1201
19:38:51.604,person,0.9468,54.85,58.51,-0.2,-0.2389,0.3485,-0.2389,-0.2,0.3462,0.3485,0.3462
19:38:51.605,cell phone,0.6318,8.19,15.79,-0.1093,-0.0402,-0.0274,-0.0402,-0.1093,0.1177,-0.0274,0.1177
19:38:51.605,person,0.352,13.9,25.95,-0.2323,-0.1308,-0.0933,-0.1308,-0.2323,0.1287,-0.0933,0.1287
19:38:51.934,person,0.9435,54.67,58.41,-0.2003,-0.2391,0.3463,-0.2391,-0.2003,0.345,0.3463,0.345
19:38:51.934,cell phone,0.6996,9.28,17.63,-0.1203,-0.0467,-0.0274,-0.0467,-0.1203,0.1296,-0.0274,0.1296
19:38:51.935,tie,0.3188,3.83,12.66,-0.1876,-0.1175,-0.1493,-0.1175,-0.1876,0.0091,-0.1493,0.0091
19:38:52.269,cell phone,0.7086,9.4,17.85,-0.1203,-0.0487,-0.0263,-0.0487,-0.1203,0.1298,-0.0263,0.1298
19:38:52.269,person,0.9442,54.6,58.45,-0.1995,-0.2392,0.3466,-0.2392,-0.1995,0.3452,0.3466,0.3452
19:38:52.269,tie,0.325,3.91,12.94,-0.1913,-0.1198,-0.1522,-0.1198,-0.1913,0.0097,-0.1522,0.0097
19:38:52.602,person,0.9461,54.81,58.37,-0.2009,-0.2377,0.3473,-0.2377,-0.2009,0.3459,0.3473,0.3459
19:38:52.602,cell phone,0.7144,9.55,17.93,-0.122,-0.0484,-0.0265,-0.0484,-0.122,0.1308,-0.0265,0.1308
19:38:52.937,person,0.9525,54.99,58.86,-0.2003,-0.2403,0.3496,-0.2403,-0.2003,0.3483,0.3496,0.3483
19:38:52.937,cell phone,0.6909,9.09,17.41,-0.1173,-0.0461,-0.0264,-0.0461,-0.1173,0.128,-0.0264,0.128
19:38:52.937,person,0.3468,13.58,25.53,-0.2289,-0.1288,-0.093,-0.1288,-0.2289,0.1264,-0.093,0.1264
19:38:53.269,person,0.9509,54.6,58.76,-0.197,-0.2399,0.349,-0.2399,-0.197,0.3477,0.349,0.3477
19:38:53.269,cell phone,0.6877,9.05,17.18,-0.1168,-0.0445,-0.0263,-0.0445,-0.1168,0.1274,-0.0263,0.1274
19:38:53.603,person,0.9508,54.59,58.66,-0.1969,-0.2389,0.349,-0.2389,-0.1969,0.3477,0.349,0.3477
19:38:53.604,cell phone,0.6947,9.36,17.29,-0.1194,-0.0442,-0.0258,-0.0442,-0.1194,0.1287,-0.0258,0.1287
19:38:53.604,tie,0.3226,3.85,12.74,-0.1899,-0.1189,-0.1514,-0.1189,-0.1899,0.0086,-0.1514,0.0086
19:38:53.936,person,0.9619,55.43,59.34,-0.2012,-0.2417,0.3531,-0.2417,-0.2012,0.3517,0.3531,0.3517
19:38:53.936,cell phone,0.6865,9.18,17.01,-0.1173,-0.0437,-0.0255,-0.0437,-0.1173,0.1264,-0.0255,0.1264
19:38:54.269,person,0.9566,54.93,59.02,-0.1981,-0.2404,0.3511,-0.2404,-0.1981,0.3498,0.3511,0.3498
19:38:54.269,cell phone,0.7166,9.58,17.76,-0.1217,-0.0456,-0.0259,-0.0456,-0.1217,0.132,-0.0259,0.132
19:38:54.602,cell phone,0.6759,8.97,16.89,-0.1155,-0.0437,-0.0258,-0.0437,-0.1155,0.1252,-0.0258,0.1252
19:38:54.603,person,0.9349,53.78,57.68,-0.1946,-0.2349,0.3432,-0.2349,-0.1946,0.3418,0.3432,0.3418
19:38:54.936,cell phone,0.6772,8.63,16.92,-0.115,-0.0438,-0.0287,-0.0438,-0.115,0.1254,-0.0287,0.1254
19:38:54.937,person,0.9549,55.42,59.01,-0.2047,-0.2409,0.3495,-0.2409,-0.2047,0.3492,0.3495,0.3492
19:38:54.937,tie,0.3252,3.88,12.85,-0.1914,-0.1198,-0.1526,-0.1198,-0.1914,0.0086,-0.1526,0.0086
19:38:55.270,person,0.9476,55.09,58.46,-0.2031,-0.2381,0.3478,-0.2381,-0.2031,0.3465,0.3478,0.3465
