frame,timestamp,label,raw_x,raw_y,raw_z,stab_x,stab_y,stab_z
2,1783532677.3723,bottle,0.035,0.003,0.504,0.035,0.003,0.504
3,1783532678.6094,bottle,0.034,-0.002,0.499,0.034,-0.001,0.5
4,1783532679.5866,bottle,0.034,-0.003,0.495,0.034,-0.003,0.496
5,1783532680.4886,bottle,0.034,-0.001,0.495,0.034,-0.001,0.495
6,1783532681.4069,bottle,0.035,-0.001,0.503,0.035,-0.001,0.502
7,1783532682.2722,bottle,0.034,-0.002,0.5,0.034,-0.002,0.5
8,1783532683.0962,bottle,0.035,-0.001,0.509,0.035,-0.001,0.508
9,1783532683.9705,bottle,0.034,-0.003,0.501,0.034,-0.003,0.502
10,1783532684.8353,bottle,0.034,-0.002,0.497,0.034,-0.002,0.498
11,1783532685.7038,bottle,0.034,-0.003,0.503,0.034,-0.003,0.502
12,1783532686.5693,bottle,0.034,-0.002,0.497,0.034,-0.002,0.497
13,1783532687.4337,bottle,0.035,-0.001,0.515,0.035,-0.001,0.513
14,1783532688.3023,bottle,0.034,-0.002,0.499,0.034,-0.002,0.501
15,1783532689.1724,bottle,0.034,-0.002,0.503,0.034,-0.002,0.504
16,1783532690.0456,bottle,0.034,-0.001,0.497,0.034,-0.001,0.498
17,1783532690.9023,bottle,0.033,0.0,0.483,0.033,-0.0,0.485
18,1783532691.7714,bottle,0.034,-0.001,0.503,0.034,-0.001,0.501
19,1783532692.6483,bottle,0.035,-0.003,0.505,0.035,-0.003,0.504
20,1783532693.5045,bottle,0.034,-0.0,0.499,0.034,-0.0,0.499
21,1783532694.371,bottle,0.034,-0.001,0.492,0.034,-0.001,0.493
22,1783532695.2358,bottle,0.034,-0.003,0.49,0.034,-0.003,0.491
23,1783532696.1079,bottle,0.033,-0.003,0.487,0.033,-0.003,0.488
24,1783532696.9734,bottle,0.035,-0.001,0.507,0.035,-0.001,0.506
25,1783532697.8393,bottle,0.034,-0.001,0.503,0.034,-0.001,0.503
26,1783532698.7049,bottle,0.034,0.005,0.496,0.034,0.004,0.497
27,1783532699.5729,bottle,0.034,-0.002,0.493,0.034,-0.001,0.494
28,1783532700.4385,bottle,0.035,-0.003,0.508,0.035,-0.003,0.506
29,1783532701.3072,bottle,0.034,-0.002,0.503,0.034,-0.002,0.503
30,1783532702.1821,bottle,0.033,-0.001,0.487,0.033,-0.001,0.487
31,1783532703.0354,bottle,0.034,-0.002,0.501,0.034,-0.002,0.499
32,1783532703.9045,bottle,0.034,-0.002,0.492,0.034,-0.002,0.493
33,1783532704.7752,bottle,0.036,-0.002,0.518,0.036,-0.002,0.515
34,1783532705.6406,bottle,0.033,-0.001,0.486,0.033,-0.001,0.487
35,1783532706.5068,bottle,0.035,-0.002,0.503,0.035,-0.002,0.501
36,1783532707.3749,bottle,0.034,-0.0,0.501,0.034,-0.0,0.501
37,1783532708.244,bottle,0.035,0.001,0.508,0.035,0.001,0.507
38,1783532709.1097,bottle,0.034,-0.003,0.496,0.034,-0.003,0.498
39,1783532709.9779,bottle,0.034,0.0,0.497,0.034,0.0,0.498
40,1783532710.8419,bottle,0.034,-0.001,0.501,0.034,-0.001,0.501
41,1783532711.7097,bottle,0.034,-0.003,0.491,0.034,-0.003,0.492
42,1783532712.5782,bottle,0.034,-0.003,0.499,0.034,-0.003,0.498
43,1783532713.4453,bottle,0.035,0.002,0.511,0.035,0.002,0.51
44,1783532714.3369,bottle,0.034,0.0,0.491,0.034,0.0,0.494
45,1783532715.2083,bottle,0.034,-0.002,0.502,0.034,-0.002,0.501
46,1783532716.0779,bottle,0.035,-0.002,0.505,0.035,-0.002,0.504
47,1783532716.9437,bottle,0.034,-0.002,0.5,0.034,-0.002,0.501
48,1783532717.8092,bottle,0.034,0.002,0.492,0.034,0.002,0.493
49,1783532718.6726,bottle,0.034,-0.001,0.498,0.034,-0.001,0.498
50,1783532719.5467,bottle,0.034,-0.003,0.499,0.034,-0.003,0.499
51,1783532720.4105,bottle,0.034,-0.001,0.498,0.034,-0.001,0.498
52,1783532721.277,bottle,0.034,-0.002,0.489,0.034,-0.002,0.49
53,1783532722.1453,bottle,0.034,-0.001,0.501,0.034,-0.001,0.501
54,1783532723.0073,bottle,0.034,-0.002,0.497,0.034,-0.002,0.498
55,1783532723.8771,bottle,0.034,-0.0,0.5,0.034,-0.0,0.5
56,1783532724.7438,bottle,0.034,-0.003,0.502,0.034,-0.003,0.502
57,1783532725.611,bottle,0.033,-0.001,0.488,0.033,-0.001,0.489
58,1783532726.4767,bottle,0.034,-0.001,0.494,0.034,-0.001,0.493
59,1783532727.3441,bottle,0.034,-0.0,0.499,0.034,-0.0,0.498
60,1783532728.2113,bottle,0.034,0.001,0.501,0.034,0.001,0.501
61,1783532729.0768,bottle,0.034,-0.003,0.503,0.034,-0.003,0.503
62,1783532729.9443,bottle,0.035,-0.002,0.504,0.035,-0.002,0.504
63,1783532730.8112,bottle,0.034,-0.002,0.498,0.034,-0.002,0.499
64,1783532731.6801,bottle,0.033,-0.001,0.484,0.033,-0.001,0.485
65,1783532732.54,bottle,0.035,-0.001,0.509,0.035,-0.001,0.506
66,1783532733.4119,bottle,0.034,-0.0,0.497,0.034,-0.0,0.498
67,1783532734.278,bottle,0.034,-0.002,0.495,0.034,-0.002,0.496
68,1783532735.1454,bottle,0.034,0.001,0.49,0.034,0.001,0.491
69,1783532736.0091,bottle,0.034,-0.002,0.491,0.034,-0.002,0.491
70,1783532736.8784,bottle,0.034,-0.002,0.493,0.034,-0.002,0.493
71,1783532737.7445,bottle,0.034,-0.001,0.496,0.034,-0.001,0.496
72,1783532738.612,bottle,0.034,-0.002,0.502,0.034,-0.002,0.501
74,1783532739.81,bottle,0.035,-0.001,0.506,0.035,-0.001,0.505
75,1783532740.6775,bottle,0.034,-0.001,0.494,0.034,-0.001,0.496
76,1783532741.5441,bottle,0.034,0.001,0.498,0.034,0.001,0.499
77,1783532742.4109,bottle,0.034,-0.002,0.493,0.034,-0.002,0.494
78,1783532743.2804,bottle,0.034,0.0,0.501,0.034,-0.0,0.5
79,1783532744.1472,bottle,0.034,-0.0,0.493,0.034,-0.0,0.494
80,1783532745.0149,bottle,0.034,-0.003,0.49,0.034,-0.003,0.491
81,1783532745.8801,bottle,0.034,0.0,0.502,0.034,-0.0,0.501
82,1783532746.7444,bottle,0.034,-0.002,0.498,0.034,-0.002,0.498
83,1783532747.6154,bottle,0.034,-0.001,0.492,0.034,-0.001,0.493
84,1783532748.4861,bottle,0.034,-0.0,0.497,0.034,-0.0,0.496
85,1783532749.3471,bottle,0.034,-0.002,0.491,0.034,-0.002,0.492
86,1783532750.2148,bottle,0.034,-0.003,0.502,0.034,-0.003,0.501
87,1783532751.0795,bottle,0.034,-0.002,0.498,0.034,-0.002,0.498
88,1783532751.9493,bottle,0.034,-0.0,0.496,0.034,-0.0,0.496
89,1783532752.8127,bottle,0.034,-0.002,0.501,0.034,-0.002,0.5
90,1783532753.6803,bottle,0.034,-0.002,0.499,0.034,-0.002,0.499
